Time_Interval,CO2_Emissions_from_All_Signals_kilograms,df_CO2_ton
0:00-1:00,36.652392,0.036652392
1:00-2:00,30.635387999999995,0.030635387999999996
2:00-3:00,26.871012,0.026871012
3:00-4:00,18.008675999999994,0.018008675999999994
4:00-5:00,11.22492,0.01122492
5:00-6:00,31.236912,0.031236912
6:00-7:00,8.889972,0.008889972
7:00-8:00,18.344424,0.018344424
8:00-9:00,37.780764000000005,0.03778076400000001
9:00-10:00,77.821212,0.077821212
10:00-11:00,98.93158799999998,0.09893158799999997
11:00-12:00,128.96133600000002,0.128961336
12:00-13:00,152.99701199999996,0.15299701199999996
13:00-14:00,158.25725999999997,0.15825725999999998
14:00-15:00,162.550248,0.162550248
15:00-16:00,161.21784,0.16121784
16:00-17:00,169.912596,0.169912596
17:00-18:00,164.28426000000002,0.16428426000000002
18:00-19:00,169.580376,0.169580376
19:00-20:00,140.59491599999998,0.140594916
20:00-21:00,136.46009999999998,0.13646009999999997
21:00-22:00,94.214652,0.094214652
22:00-23:00,100.104648,0.10010464799999999
23:00-24:00,83.10733199999999,0.08310733199999999
